Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc2-l3b,Ethernet1,100.66.1.31/31,spine,dc2-sp1,Ethernet6,100.66.1.30/31
l3leaf,dc2-l3b,Ethernet2,100.66.1.33/31,spine,dc2-sp2,Ethernet6,100.66.1.32/31
l3leaf,dc2-l3b,Ethernet3,100.66.1.35/31,spine,dc2-sp3,Ethernet6,100.66.1.34/31
l3leaf,dc2-l4a,Ethernet1,100.66.1.37/31,spine,dc2-sp1,Ethernet7,100.66.1.36/31
l3leaf,dc2-l4a,Ethernet2,100.66.1.39/31,spine,dc2-sp2,Ethernet7,100.66.1.38/31
l3leaf,dc2-l4a,Ethernet3,100.66.1.41/31,spine,dc2-sp3,Ethernet7,100.66.1.40/31
l3leaf,dc2-l4b,Ethernet1,100.66.1.43/31,spine,dc2-sp1,Ethernet8,100.66.1.42/31
l3leaf,dc2-l4b,Ethernet2,100.66.1.45/31,spine,dc2-sp2,Ethernet8,100.66.1.44/31
l3leaf,dc2-l4b,Ethernet3,100.66.1.47/31,spine,dc2-sp3,Ethernet8,100.66.1.46/31
l3leaf,dc2-l5a,Ethernet1,100.66.1.49/31,spine,dc2-sp1,Ethernet9,100.66.1.48/31
l3leaf,dc2-l5a,Ethernet2,100.66.1.51/31,spine,dc2-sp2,Ethernet9,100.66.1.50/31
l3leaf,dc2-l5a,Ethernet3,100.66.1.53/31,spine,dc2-sp3,Ethernet9,100.66.1.52/31
l3leaf,dc2-l5b,Ethernet1,100.66.1.55/31,spine,dc2-sp1,Ethernet10,100.66.1.54/31
l3leaf,dc2-l5b,Ethernet2,100.66.1.57/31,spine,dc2-sp2,Ethernet10,100.66.1.56/31
l3leaf,dc2-l5b,Ethernet3,100.66.1.59/31,spine,dc2-sp3,Ethernet10,100.66.1.58/31
